id,Artist,Title,Album,Year,Lyric
85,Ariana Grande,Greedy,Dangerous Woman,2016,greedy ooh you know that i'm greedy for love   boy you give me feelings never felt before ah ah i'm making it obvious by knocking at your door i know that i'm coming tonight ah you know i'm coming tonight ah ah don't want to deny it anymore ah  pre been in this state of mind been in this state of mind ah been in this state of mind all night   baby you got lucky 'cause you're rocking with the best and i'm greedy 'cause i'm so greedy 'cause i'm so i ain't talking money i'm just physically obsessed and i'm greedy 'cause i'm so greedy 'cause i'm so greedy ooh you know that i'm greedy for love you know that i'm greedy for love 'cause i'm so greedy ooh you know that i'm greedy for love you know that i'm greedy for love 'cause i'm so ah   i don't need a phone call got nothing to say ah ah i'ma tell you when it's over ah got no games to play you know that i'm coming tonight i know i'm coming tonight ah ah i just need to get this out the way oh baby ah  pre been in this state of mind been in this state of mind ah been in this state of mind all night   baby you got lucky 'cause you're rocking with the best and i'm greedy 'cause i'm so greedy 'cause i'm so i ain't talking money i'm just physically obsessed and i'm greedy 'cause i'm so greedy 'cause i'm so so greedy ooh you know that i'm greedy for love you know that i'm greedy for love 'cause i'm so greedy ooh ooh baby you know that i'm greedy for love you know that i'm greedy for love 'cause i'm so   greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy for love haooh haoohooh haooh greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy i'm greedy for love haooh haoohooh haooh   baby you got lucky 'cause you're rocking with the best and i'm greedy 'cause i'm so greedy oh no baby 'cause i'm so i ain't talking money i'm just physically obsessed and i'm greedy 'cause i'm so greedy so 'cause i'm so greedy ooh you know that i'm greedy for love you know that i'm greedy for love 'cause i'm so greedy ooh ooh you know that i'm greedy for love hey you know that i'm greedy for love you know i'm 'cause i'm so greedy ooh you know that i'm greedy for love oh don't you know i'm greedy you know that i'm greedy for love oh don't you know i'm 'cause i'm so greedy ooh you know that i'm greedy for love woo you know that i'm greedy for love 'cause i'm so
86,Ariana Grande,blazed,Sweetener,2018,pharrell williams  ariana grande there is somethin' between us i can see it right now your magnetic demeanor thats something can't be found i thought that i was dreamin' til my love came around now i just come on over show you how we get down shawty you can get blazed   ariana grande i can't believe that you are here i can't believe it's happening what are the odds that you'd appear the uniso vast to me seven billion is on the earth could've been anywhere but you're here with me should i play lotto what's it worth i must be on so clear to me  pre ariana grande once i have you i will never let you never let you once i have you i will never let you never let you go never let you never let you go never let you never let you go never let you never let you go never let you   pharrell williams  ariana grande there is somethin between us i can see it right now your magnetic demeanor thats something can't be found i thought that i was dreamin 'til my love came around now i just come on over show you how we get down shawty you can get blazed   ariana grande look at you love you are the same you have a light you cannot hide yes you may have a different face but your soul is the same inside i don't care who is listening 'cause they be making fun of this on tv they wouldnt laugh if they were inside my past life with you and they were me  pre ariana grande once i have you i will never let you never let you once i have you i will never let you never let you go never let you never let you go never let you never let you go oh never let you never let you go yeah never let you   pharrell williams  ariana grande don't think that it cannot happen 'cause it can shawty you can get blazed sleep if you want and wake up in love again shawty you can get blazed   ariana grande  pharrell williams once i have you i will never let you never let you once i have you i will never let you never let you go shawty you can get blazed never let you never let you go never let you never let you go never let you never let you go never let you
87,Ariana Grande,Right There,Yours Truly,2013,ariana grande oohooh hey if you wanna party if you if you wanna party put your hands up put your hands up if you if you wanna party if you if you wanna party so put your hands up put your hands up hands up  refrain ariana grande big sean you got it you got it babe see ya you got it you got it babe got it huh you got it you got it babe sean don you got it you got it babe   big sean  ariana grande okay this this this one for my number one girl who got the top spot title spent a hour in the bathroom walked out looking like a model god doing what you do got me right there with apollo on the moon who needs genies in a bottle girl if they already got you got you i got you boy you make me feel so lucky finally the stars align never has it been so easy to be in love and to give you this heart of mine  pre  ariana grande you know what i need ayy i know what you like ayy put it all together baby we could be alright hey how could this be wrong when it feels so right yeah i really love you i really love you oh and i'll never let you go   ariana grande you should know i'm never gonna change i'm always gonna stay you call for me i'm right there right there right there right there 'cause you listen and you care you're so different no one compares and if you never change i'm gonna stay right there i'll always be right there  refrain ariana grande you got it you got it babe if you wanna party if you if you wanna party you got it you got it babe yeah put your hands up put your hands up   ariana grande and i get butterflies just thinking about you boy you're on my mind my mind sometimes i catch myself daydreaming lost in your eyes and i lose all track of time track of time  pre  ariana grande you know what i need ayy i know what you like ayy put it all together baby we could be alright alright hey how can this be wrong when it feels so right yeah i really need you i really love you oh and i'll never let you go   ariana grande big sean you should know i'm never gonna change i'm always gonna stay you call for me i'm right there right there right there right there 'cause you listen and you care you're so different no one compares and if you never change i'm gonna stay right there what okay i'll always be right there what   big sean  ariana grande now if all fell through would you catch me before the pavement what if my benz turned back to public transportation so swear would you still be at home for me with the candles waiting what and get my mind back adjacent to the place of a young visionary a player too you know i have some girls missionary ooh my black book and numbers thicker than the dictionary and bible i got it recycled i love and i like you five course meals even though you don't mind a drivethru that's why i got you and i'll never let you go i got you   ariana grande big sean you should know oh i'm never gonna change i'm never gonna change i'm always gonna stay i'm always gonna stay oh you call for me i'm right there i'm right there right there oohoohoohooh 'cause you listen and you care you're so different no one compares and if you never change i'm gonna stay right there big sean don i'll always be right there carry on yeah   ariana grande big sean if you wanna party if you if you wanna party you got it oh put your hands up put your hands up i'll always be right there oh  if you wanna party if you if you wanna party yeah put your hands up put your hands up i'll always be right there you got it you got it babe if you wanna party put your hands up gods you got it you got it babe put your hands up you got it you got it babe if you wanna party if you if you wanna party you got it you got it babe put your hands up put your hands up got it babe
88,Ariana Grande,Thinking Bout You,Dangerous Woman,2016,oh yeah yeah ah ah   i've been thinkin' bout you yeah i've been missing you where the hell are you oh when i need you i could still hear your voice i ain't got no choice 'cause i'm here all alone i know i can't wait 'til you get home  pre oh i don't have you here with me but at least i have the memory i try to make it through the night but i can't control my mind   i'm just thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you i'm just thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you   got these thoughts in my head ain't no way to forget got me losing my breath nobody got me the way that you did had my eyes rolling back had me arching my back now you love me so good i wish you would hurry up and come back  pre oh i don't have you here with me but at least i have the memory i try to make it through the night but i can't control my mind   i'm just thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you about you baby i'm just thinkin' 'bout you 'bout you ah i'm thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you i'm just thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you say you don't baby 'bout you   baby i don't want no one no one else so hurry 'cause i need some need some need some help and i've been waiting patient patiently 'cause i don't have you here with here with here with me but at least i have the memory   i'm just thinkin' 'bout you 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you i do i'm just thinkin' 'bout you i'm thinkin' 'bout you i'm thinkin' 'bout you thinkin' 'bout you ooh oh yeah i'm just thinkin' 'bout you 'bout you 'bout you yeah i'm thinkin' 'bout you i'm thinkin' 'bout you
89,Ariana Grande,Just a Little Bit of Your Heart,My Everything,2014,ohoh ohohoh ohoh ohohoh   i don't ever ask you where you've been and i don't feel the need to know who you're with i can't even think straight but i can tell that you were just with her  pre and i'll still be a fool i'm a fool for you   just a little bit of your heart just a little bit of your heart just a little bit of your heart is all i want just a little bit of your heart just a little bit of your heart just a little bit is all i'm asking for ohoh ohohoh ohoh ohohoh   i don't ever tell you how i really feel 'cause i can't find the words to say what i mean and nothing's ever easy that's what they say i know i'm not your only  pre but i'll still be a fool 'cause i'm a fool for you   just a little bit of your heart just a little bit of your heart just a little bit of your heart is all i want just a little bit of your heart just a little bit of your heart just a little bit is all i'm asking for ohoh ohohoh just a little bit ohoh ooh yeahyeah yeah yeah   i know i'm not your only but at least i'm one i heard a little love is better than none   oh babe just a little bit of your heart just a little bit of your heart just a little bit of your heart is all i want just a little bit of your heart just a little bit of your heart just a little bit is all i'm asking for just a little bit of your heart just a little bit of your heart just a little bit my baby just a little bit of your heart is all i want is all i want just a little bit of your heart just a little bit just a little bit of your heart just a little bit is all i'm asking for
90,Ariana Grande,west side,Positions,2020,i don't wanna think too much i just wanna feel you know that it ain't no rush let me keep it real just let me be in your life like that in your life like that i'll bring the light right back i'll bring the life right back  pre i'm gonna make you want more more i'm gonna be your new favorite tell 'em you closing the door i am the only for sure oh babe   hold up there shouldn't be no hold up there's more love if you follow emotions show up now if you're down to roll up meet me on the west side for me hold up there shouldn't be no hold up there's more love if you follow emotions show up now if you're down to roll up meet me   i don't want it if it ain't your touch it's better every time we chill you ain't gotta bring no stuff we got all we need right here just let me be in your life like that be your wife like that i'll bring the light right back i'll bring the life right back  pre i'm gonna make you want more more i'm gonna be your new favorite tell 'em you closing the door i am the only for sure baby oh babe yeah   hold up there shouldn't be no hold up hold up there's more love if you follow emotions emotions show up now if you're down to roll up roll up meet me on the west side for me hold up there shouldn't be no hold up there's more love if you follow emotions show up now if you're down to roll up meet me on the west side for me   mmm
91,Ariana Grande,Sometimes,Dangerous Woman,2016,la la la la la la la la la la la la la la la la la la la la la la la la la la la la   i've never been so caught up still so into us i never thought i'd be here should've turned to dust ooh let's be honest baby this is so unusual ooh i'm not tempted baby even if they're beautiful  pre  i used to be cautious a little too reckless now all my emotions are all 'cause of you   i ain't even think of leaving sometimes i ain't even think of letting go i ain't ever thought of going nowhere i don't even see it down the road 'cause we're collectin' moments tattoos on my mind i ain't even think of leaving sometimes i ain't even think of letting go not even sometimes  post la la la la la la la la la la la la la la la la la la la la la la la la la la la la   ooh let's be honest baby this is so unusual ooh i'm not tempted baby even if they're beautiful  pre  it used to be easy for someone to steal me now all my emotions are all 'cause of you boy   i ain't even think of leaving sometimes i ain't even think of letting go i ain't ever thought of going nowhere i don't even see it down the road 'cause we're collectin' moments tattoos on my mind i ain't even think of leaving sometimes i ain't even think of letting go not even sometimes babe   i don't know i don't know i don't know why it never worked but it's going to now you don't know you don't know you don't know what it does to me when i feel you around is it love is it lust is it fear but it's hard to breathe when you're touching me there hard to breathe when you're kissing me there hard to breathe when you're not here   i ain't even think of leaving sometimes i ain't even think of letting go i ain't ever thought of going nowhere i don't even see it down the road 'cause we're collectin' moments tattoos on my mind i ain't even think of leaving sometimes i ain't even think of letting go oh yeah baby not even sometimes la la la la la la la ooh la la la la la la la not even sometimes la la la la la la la oh yeah la la la la la la la 'cause we're collectin' moments tattoos on my mind baby i ain't even think of leaving sometimes i ain't even think of letting go no boy not even sometimes   la la la la la la la not even sometimes not even sometimes la la la la la la la la la la la la la la
92,Ariana Grande,Honeymoon Avenue,Yours Truly,2013,ariana grande  leon thomas iii shoodoodoodumdoo dada shoodoodoodumdoo dada shabada shabada da da uhhuh da da ooh yeah da da mmm ah da da it's the rascals   i looked in my rear view mirror and it seemed to make a lot more sense than what i see ahead of us ahead of us yeah uh i'm ready to make that turn before we both crash and burn 'cause that could be the death of us the death of us  pre baby you know how to drive in rain and you decided not to make a change stuck in the same old lane goin' the wrong way home   i feel like my heart is stuck in bumpertobumper traffic i'm under pressure 'cause i can't have you the way that i want let's just go back to the way it was when we were on honeymoon avenue honeymoon avenue baby coastin' like crazy can we get back to the way it was   hey what happened to the butterflies guess they encountered that stop sign and my heart is at a yellow light a yellow light hey right when i think that we've found it found it well that's when we start turnin' around turnin' around you're sayin' baby don't worry but we're still goin' the wrong way  pre baby you know how to drive in rain and you decided not to make a change stuck in the same old lane goin' the wrong way home   i feel like my heart is stuck in bumpertobumper traffic i'm under pressure 'cause i can't have you the way that i want let's just go back to the way it was when we were on honeymoon avenue honeymoon avenue baby coastin' like crazy can we get back to the way it was   they say only fools fall in love well they must've been talkin' about us and sometimes i feel like i've been here before i could be wrong but i know i'm right we're gon' be lost if we continue to fight honey i know that we can find our way home   i feel like my heart is stuck in bumpertobumper traffic i'm under pressure 'cause i can't have you the way that i want let's just go back to the way it was when we were on honeymoon avenue honeymoon avenue my baby coastin' like crazy can we get back to the way it was when we were on honeymoon avenue honeymoon avenue baby coastin' like crazy can we get back to the way it was   baby you know how to drive in rain and you decided not to make a change stuck in the same old lane goin' the wrong way home i feel like my heart is stuck in traffic i'm under pressure pressure let's just go back to the way it was when we were on honeymoon avenue honeymoon avenue honeymoon avenue honeymoon avenue avenue let's just go back bbbback back back
93,Ariana Grande,Leave Me Lonely,Dangerous Woman,2016,macy gray dangerous love ooh you're no good for me darling ahahah yeah you turn me away ooh like i'm begging for a dollar danger oh how you hold me ahahah i get a chill inside ooh and nothing frightens me baby more  ariana grande is it love when so easily you said goodbye is it love when we've given up before we tried mmm is it love when you stole my peace of mind is it love when you cry and cry and cry  pre ariana grande so when you walk out that door don't you come back no more my heart has had enough of the give and take and as much as i want you to stay   ariana grande you're a dangerous love ooh maybe you're no good for me darling ahahah cause if you're gonna love me and leave me hanging here then i'd rather you leave me lonely ooh even though it hurts ooh you're a dangerous love oh hey   macy gray dangerous love ooh you're no good for me darling ahahah yeah you turn me away ooh like i'm begging for a dollar danger oh how you hold me ahahah i get a chill inside ooh and nothing frightens me baby more  pre ariana grande so when you walk out that door don't you come back no more my heart has had enough of the give and take and as much as i want you to stay    ariana grande you're a dangerous love ooh maybe you're no good for me darling ahahah cause if you're gonna love me and leave me hanging here then i'd rather you leave leave me lonely even though it hurts you're a dangerous love baby   macy gray dangerous love ooh you're no good for me darling ahahah yeah you turn me away ooh like i'm begging for a dollar danger oh how you hold me ahahah i get a chill inside ooh and nothing frightens me baby more
94,Ariana Grande,I Don't Care,Dangerous Woman,2016,used to cry 'bout some crazy shit before i used to feel so obligated to be so much more i used to let some people tell me how to live and what to be but if i can't be me the fuck's the point no   i don't care about it anymore oh i don't care about it anymore   now i laugh about the things that used to be important to me used to have a hold on me used to have a hold on me like what do you think and what he thinks and what they think but i love me yeah   i don't care about it anymore oh i don't care about it anymore   yeah yeah yeah uh yeah uh iii oohooh uh ii don't care about it anymore ii don't care about it anymore
95,Ariana Grande,Knew Better / Forever Boy,Dangerous Woman,2016,part i knew better   say you could turn me on boy but that's about it you can say what you wanna but i wouldn't believe it you could write all them songs that's the game that you play tryna right all them wrongs but you can't make me stay  pre 'cause i see right through you boy and i ain't feeling you no more i ain't feelin' you no more i ain't feelin' you no more   if you knew better boy you would do better can't nobody love you like i do baby i could do better boy if you knew better you would do better baby if you love me like i love you maybe we could be together 'cause ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ayy ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me baby  part ii forever boy   mmm ah never been with a boy more than six months i couldn't do it got too used to it ah ain't nobody ever kept my attention they couldn't do it yeah boy they blew it  pre but you showed me what it means to be happy ever after in love forever and you gave me the key to all your love and all your pleasure boy you're my treasure ah   ohwhoa be forever mine you and i ohwhoa be forever mine boy all the time you're my forever boy you're my forever boy you're my forever boy you're my forever boy   been friends for a minute so you know just what i like you know my mind nah even seen boys come and go so you know what makes me cry see you're the one that treat me right  pre but you showed me what it means to be happy ever after in love forever and you gave me the key to all your love and all your pleasure boy you're my treasure ah   ohwhoa be forever mine you and i ohwhoa be forever mine boy all the time ohwhoa mine time ohwhoa mine time you're my forever boy you're my forever boy you're my forever boy you're my forever boy
96,Ariana Grande,Break Your Heart Right Back,My Everything,2014,produced by andrew pop wansel and warren oak felder   ariana grande i shoulda saw it coming i shoulda saw the signs but i wanted to believe you trust you you said you wouldn't lie but baby you were so good so good you had me going blind you said he was your best friend im guessing i wasn't your type hey  pre ariana grande what goes around comes around and if it goes up it comes down i know you're mad cause i found out want you to feel what i feel right now   ariana grande now that its over i just wanna break your heart right back right back i'm coming want you to cry me a river out i just want to break your heart right back yeah all this time i was blind running 'round telling everybody i'm coming my baby loves me my baby loves me my baby my baby my baby loves me   ariana grande you said i was your best would be your last now hes gone youre alone dont want you back youre telling me youre sorry well sorry i'm over it 'cause i've already been there done that not doing this again no  pre ariana grande what goes around comes around and if it goes up it comes down i know you mad cause i found out want you to feel what i feel right now   ariana grande  childish gambino now that its over i just wanna break your heart right back right back i'm coming want you to cry me a river out i just want to break your heart right back yeah all this time i was blind running 'round telling everybody i'm coming my baby loves me my baby loves me my baby loves me my baby loves me my baby my baby my baby loves me ooh yeah my baby loves me oh woah my baby loves me oh woah my baby my baby yeah my baby loves me yeah   childish gambino uh listen you got a man but your man ain't loyal dont understand how to spell it out for ya yes i'm a g from the a and they ask why yeah sorry had to tell you i'm a nice guy naw i'm a sick guy money too much i step on stage and girls move too much the flow so gross my nickname school lunch and he with them other guys and you know it's true 'cause okay gambino i know they hate but i dont know why uh i know the way he did you was whack but i know how you can get dude right back and get with me   ariana grande  childish gambino now that its over i just wanna break your heart right back right back i just wanna break your heart right back right back baby want you to cry me a river want you to cry me a river i just want to break your heart right back right back yeah all this time i was blind running 'round telling everybody my baby loves me but do he really tho my baby loves me but do he really tho my baby my baby my baby loves me my baby loves me my baby loves me but do he really tho my baby loves me but do he really tho my baby my baby yeah ask what my baby loves me   ariana grande ooh yeah running 'round town tellin' everybody ooh yeah running 'round town tellin' everybody ooh yeah running 'round town tellin' everybody ooh yeah running 'round town tellin' everybody i'm coming out yeah yeah say say hes coming hey i'm coming out
97,Ariana Grande,Bad Decisions,Dangerous Woman,2016,no yeah hey   boy you know that you drive me crazy but it's one of the things i like 'cause i know when you need it baby that i got that oohooh let 'em keep let 'em keep on talkin' but it don't matter what they say 'cause you know when you hear me knockin' gonna get that oohooh  pre i've been doing stupid things wilder than i've ever been you've become my favorite sin so let 'em keep let 'em keep on talking that's right   we got that hood love we got that good love we got that hot love we got that i don't give a what love we got that one life gimme that all night we got that bonnie and clyde love they say it's wrong but that's the way you turn me on we got that hood love we got that good love make me make bad boy you make me make bad decisions bad boy you make me make bad decisions   no they ain't gonna understand it understand what i see in you they don't know when you touch my body that i see the truth let 'em keep let 'em keep on talking 'cause i know that i got someone anytime that i need some danger gonna get that oohooh  pre i've been doing stupid things wilder than i've ever been you've become my favorite sin so let 'em keep let 'em keep on talking that's right   we got that hood love we got that good love we got that hot love we got that i don't give a what love we got that one life gimme that all night we got that bonnie and clyde love they say it's wrong they say it's wrong but that's the way you turn me on we got that hood love we got that good love make me make bad boy you make me make bad decisions boy you make me bad boy you make me make bad decisions boy babe   nah yeah don't you know i ain't fuckin' with them good boys know you love me like ain't nobody could boy if you want it boy you got it ain't you ever seen a princess be a bad bitch   we got that hood love we got that good love we got that hot love we got that i don't give a what love we got that one life gimme that all night we got that bonnie and clyde love they say it's wrong they say it's wrong but that's the way you turn me on you turn me on we got that hood love we got that good love make me make bad boy you make me make bad decisions bad boy you make me make bad decisions bad boy you make me make bad decisions bad boy you make me make bad decisions
98,Ariana Grande,Knew Better Part Two,,2016,say you could turn me on boy but that's about it you can say what you wanna but i wouldn't believe it you could write all them songs that's the game that you play tryna right all them wrongs but you can't make me stay  pre 'cause i see right through you boy and i i feelin' you no more i ain't feelin' you no more i ain't feelin' you no more   if you knew better boy you would do better can't nobody love you like i do baby i could do better boy if you knew better you would do better baby if you love me like i love you maybe we could be together 'cause ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ayy ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me baby   make a mistake you better learn from it play with tea you get burned from it my daddy always told me if he makes you cry he ain't the one you better run from him he used to get to me mentally i don't fuck with your energy if you knew better you would do better but you don't know shit so i'll do better got a new 'do and some new shoes just to go with my new boo lovin' me like he used to and i ain't even worried 'bout it this time shit i know he gon' be the one to treat me just right just right never had a motherfucker this tight sheesh so baby this is what your soulmate look like i look good right   if you knew better boy you would do better hey can't nobody love you like i do baby i could do better boy if you knew better boy if you knew you would do better baby if you love me like i love you maybe we could be together 'cause ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me ain't nobody like me oh ain't nobody like me nobody like me ain't nobody like me sheesh ain't nobody like me nobody like me ain't nobody like me ain't nobody like me baby nuhuh   nobody like me hmm ain't nobody like me me ain't nobody like me ayy
99,Ariana Grande,Tattooed Heart,Yours Truly,2013,you don't need a lot of money honey you don't have to play no games all i need is all your lovin' to get the blood rushing through my veins oh i wanna say we're going steady like it's 954 no it doesn't have to be forever just as long as i'm the name on your tattooed heart   tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart   you don't need to worry about making me crazy 'cause i'm way past that yeah and so just call me if you want me 'cause you got me and i'll show you how much i want to be on your tattooed heart   tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart just as long as i'm the name on your tattooed heart   wrap me in your jacket my baby and lay me in your bed and kiss me underneath the moonlight darling let me trace the lines on your tattooed heart   tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart tattooed heart just as long as i'm the name on your tattooed heart
100,Ariana Grande,Jasons Song (Gave It Away),Dangerous Woman,2016,yeah you really tried but i was blind to all the lies you told me boy all the shit you've done you can't outrun the way you undersold me hey  pre  you acted like you bought me at a bargain sale you don't even care you focused your frustration on a small detail blew it out of scale like my ponytail   well if you don't want to see the girl i want to be then why then why should i listen if you don't want to do the things i need from you goodbye goodbye 'cause i gave it away i gave it away i gave it away and i'm taking it right back hey   i'm no blow up doll no freeforall no slave to your decision ooh gotta find a way to break the spell to get the hell away from those who block my vision  pre  you used me as a fragment of your grand design hey and you you don't get to put me on your bottom line you don't get what's mine and i'm doing fine   said you don't want to see the girl i want to be then why then why would i listen if you don't want to do the things i need from you goodbye goodbye 'cause i gave it away i gave it away i gave it away i'm taking it right back baby   well if you don't want to see the girl i want to be then why then why should i listen if you don't want to do the things i need from you goodbye goodbye 'cause i gave it away i gave it away i gave it away i gave it away and i'm taking it right back hey taking it right back baby i'm taking it right back hey
101,Ariana Grande,How I Look on You,Charlie's Angels (Original Motion Picture Soundtrack),2019,say you want me anyway do ya you can handle all this fame can ya like me…just…the way i…are just the way i way i…are yeah yeah you would like me anyway would ya you won't let me get away won't ya like me just the way i are say you don't wanna be a star do you  pre we step out on a friday night new front page it's a cute headline i made you a thing like who's that guy say you ain't in it for the spotlight boy   i don't believe no one no more boy show me what you're in it for been on the low when it comes to love when it comes when it comes to love said do you like how i look or just how i look on you   cover on a magazine in just two weeks boy to watch ain't he just just too sweet now he ain't even got time for me i only see him on the big screen woke up at like five and boy you wasn't here when it's my fault she even knows that you're there was i just a transition boy remember where ya come from  pre we step out on a friday night new front page it's a cute headline i made you a thing like who's that guy say you ain't in it for the spotlight boy   i don't believe no one no more boy show me what you're in it for in it for been on the low when it comes to love when it comes to love said do you like how i look or just how i look on you  break mmm mmm mmm mmm how i look on you mmm mmm mmm mmm how i look on you   how i look on you how i look how i look on you how i look how i look on you oh yeah how i look how i look on you how i look how i look on you how i look how i look on you how i look how i look on you
102,Ariana Grande,True Love,Christmas & Chill,2015,on that first day of christmas when you gave me all them kisses boy you showed me things come hold me please and never let me go on that second day of christmas said you felt like something's missing so you promised me that promise ring to keep 'til we get old boy  pre on that third day of christmas we got all in our feelings said i love you and meant it oh on the fourth we committed any time he could get it he's the real one i know it   look at all the things my true love gave to me my true love my true love you are my true love look at all the things my true love gave to me my true love my true love you are my true love ahah ahah ahah ohoh ahah ahah you are my true love   on the fifth day of christmas you asked me what's on my wishlist and i told you all i wanted was forever with my boo after six days in your arms i got that tattoo on my heart 'cause i'm your moonlight you're my star ain't nothin' shining more than you boy  pre you completed the vision now i feel like i'm living you're so one in a million ohoh i'm so glad we committed any time he could get it he's the real one i know it   look at all the things my true love gave to me my true love you are my true love you are my true love look at all the things my true love gave to me you are my true love my true love my true love you are my true love ahah ahah ahah ohoh ahah ahah you are my true love
103,Ariana Grande,Daydreamin,Yours Truly,2013,you walked in caught my attention i've never seen a man with so much dimension  pre it's the way you walk the way you talk the way you make me feel inside it's in your smile it's in your eyes i don't wanna wait for tonight   so i'm daydreamin' with my chin in the palm of my hands about you you and only you got me daydreamin' with my chin in the palm of my hands about you you and only you  post fofor you oh oh oh for you oh oh oh for you oh oh oh for you oh oh   now i can't wait to hold you in my arms i know i was made for you i'm in love with all your charm  pre it's the way you walk the way you talk the way you make me feel inside it's in your smile it's in your eyes i don't wanna wait for tonight   so i'm daydreamin' with my chin in the palm of my hands about you you and only you got me daydreamin' with my chin in the palm of my hands about you you and only you   oh i want ya gotta have ya and i need you like i've never had lovin' before oh i want ya ou i need you gotta have ya like i've never had lovin' before   so i'm daydreamin' with my chin in the palm of my hands about you you and only you got me daydreamin' with my chin in the palm of my hands about you you and only you  post fofor you oh oh oh for you oh oh oh for you oh oh oh for you oh oh   marjorie grande  frank grande he was a mans man and a ladies man 8 9 i began to become more serious about things in life oh i think when i was standing on that stoop and i looked at him yeah i was  years old
104,Ariana Grande,Baby I,Yours Truly,2013,baby i got love for thee so deep inside of me i don't know where to start yeah yeah i love you more than anything but the words can't even touch what's in my heart no no  pre  when i try to explain it i be sounding insane the words don't ever come out right i get all tonguetied and twisted i can't explain what i'm feeling and i say baby baby ohwoah ohwoah baby   baby i oh baby oh baby my baby baby i oh baby baby i baby i all i'm tryna say is you're my everything baby but every time i try to say it words they only complicate it baby baby ohwoah ohwoah   baby i'm so down for you no matter what you do real talk i'll be around yeah yeah ooh baby baby i been feeling you before i even knew what feelings were about oh baby  pre  when i try to explain it i be sounding all crazy words don't ever come out right i get all tonguetied and twisted i can't explain what i'm feeling and i say baby baby ohwoah ohwoah baby   baby i oh baby oh baby my baby baby i oh baby baby i baby i all i'm tryna say is you're my everything baby but every time i try to say it words they only complicate it baby baby ohwoah ohwoah baby baby oohwoah   straight up you got me all in how could i not be i sure hope you know i sure hope you know if it's even possible i love you more than the word love can say yeah it's better not explaining that's why i keep saying   baby i oh baby oh baby my baby baby i oh baby baby i baby i all i'm tryna say is you're my everything baby but every time i try to say it words they only complicate it baby baby ohwoah ohwoah baby baby baby baby i oh baby oh baby my baby baby i oh baby baby i baby i all i'm tryna say is you're my everything baby but every time i try to say it words they only complicate it every time i try to say it words they only complicate it every time i try to say it words they only complicate it baby baby ohwoah ohwoah baby baby
105,Ariana Grande,Be My Baby,My Everything,2014,yeah baby ooh babe   if you know how to be my lover maybe you can be my baby hold me close under the covers kiss me boy and drive me crazy be my be my be my be my be my baby be my be my be my baby and drive me crazy   if you know how to treat me you know how to touch me baby then you'll get the chance the chance to love me it's obvious i want to be into you but it all depends on all the things you do 'cause babe i promise i promise if you keep it real with me be honest be honest you can get anything you want that you want babe just show me everything i need to see i'll give you anything boy   if you know how to be my lover maybe you can be my baby hold me close under the covers kiss me boy and drive me crazy be my be my be my be my be my baby be my be my be my baby and drive me    i'll give you all of my trust if you don't mess this up you ain't tryna get no other girls when you in the club all you got is eyes for me i'm the only girl you see so if you treat me right just the way that i want you oh baby boy i promise that i'll be on you ohoh on you night to the morning   if you know how to be my lover maybe you can be my baby hold me close under the covers kiss me boy and drive me crazy be my be my be my be my be my baby be my be my be my baby and drive me crazy   i'll give you all of my trust if you don't mess this up you ain't tryna get no other girls when you in the club all you got is eyes for me i'm the only one you see   if you know how to be my lover be my maybe you can be my baby by my side hold me close under the covers kiss me boy and drive me crazy crazy baby yeah be my be my be my be my be my baby be my be my be my baby and drive me crazy
